[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.01673,0.00449,0.00609,-0.05382,0.00043,16614,0.06, 36 x 811,0.05,0.06,240,20.65,20.8, 5 x 5,20.5,-1,0,0,0,0,1613,20.8,0.095
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.01321,0.00345,0.00507,-0.04407,0.0001,4311,0.04, 96 x 563,0.04,0.05,242.5,23.1,23.45, 52 x 53,23.09,-1,0,0,0,0,411,23.3,0.106
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.01224,0.00298,0.00495,-0.04419,0.0004,6807,0.04, 100 x 264,0.04,0.05,245,25.6,25.9, 3 x 45,25.41,-1,0,0,0,0,1512,25.8,0.118
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00896,0.0023,0.004,-0.0344,-0.00018,3068,0.03, 200 x 668,0.03,0.04,247.5,28.05,28.4, 24 x 19,27.89,-1,0,0,0,0,875,28.3,0.129
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00913,0.00201,0.0039,-0.03475,0.00047,8479,0.04, 65 x 550,0.03,0.04,250,30.55,30.9, 45 x 45,30.25,-1,0,0,0,0,477,30.8,0.141
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00876,0.00176,0.00306,-0.03475,-0.00035,6392,0.03, 60 x 364,0.03,0.04,252.5,33.05,33.4, 45 x 12,33.18,-1,0,0,0,0,147,33.3,0.152
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00637,0.00135,0.00303,-0.02484,0.00054,2667,0.02, 329 x 71,0.02,0.03,255,34.55,36.45, 45 x 45,35.48,-1,0,0,0,0,3526,35.8,0.163
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00604,0.00118,0.00279,-0.02527,0.00011,1005,0.02, 121 x 71,0.02,0.03,257.5,37.05,39.25, 45 x 45,37.98,-1,0,0,0,0,86,38.3,0.175
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.0058,0.00104,0.00226,-0.02477,0.00005,4197,0.02, 82 x 324,0.02,0.03,260,40.05,41.3, 15 x 15,40.52,-1,0,0,0,0,20835,40.8,0.186
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00543,0.00095,0.00185,-0.02498,0.00001,2503,0.02, 1 x 100,0.02,0.03,262.5,42.05,43.6, 45 x 5,42.5,-1,0,0,0,0,1032,43.3,0.198
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00483,0.00094,0.00254,-0.02519,0.00028,4393,0.03, 1 x 243,0.02,0.03,265,44.55,46.75, 26 x 26,45.3,-1,0,0,0,0,12843,45.8,0.209
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00531,0.00085,0.00193,-0.02459,0.00022,1182,0.01, 37 x 168,0.02,0.03,267.5,47.05,49.25, 45 x 45,47.59,-1,0,0,0,0,3150,48.3,0.22
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00335,0.00059,0.00114,-0.01534,0.00038,660,0.02, 508 x 56,0.01,0.02,270,49.55,51.55, 26 x 23,50.1,-1,0,0,0,0,29300,50.8,0.232
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00334,0.00059,0.00158,-0.01588,-0.00043,175,0.01, 71 x 56,0.01,0.02,272.5,52.05,54.25, 45 x 45,54,-1,0,0,0,0,501,53.3,0.243
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00334,0.00052,0.00093,-0.01488,-0.00034,292,0.02, 108 x 97,0.01,0.02,275,54.55,56.75, 45 x 45,55.06,-1,0,0,0,0,1464,55.8,0.255
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00321,0.00043,0.00166,-0.01515,0.0005,182,0.03, 445 x 104,0.01,0.02,277.5,57.05,59.25, 45 x 45,48.7,-1,0,0,0,0,0,58.3,0.266
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00231,0.00043,0.00091,-0.01483,-0.00037,9112,0.02, 71 x 107,0.01,0.02,280,59.55,61.75, 45 x 25,60.06,-1,0,0,0,0,2389,60.8,0.277
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00118,0.00023,0.00097,-0.00508,-0.00003,4714,0.01, 0 x 4890,0,0.01,282.5,62.05,64.25, 45 x 26,49.2,-1,0,0,0,0,0,63.3,0.289
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00085,0.00017,0.0006,-0.00548,0.0005,276,0.01, 0 x 3604,0,0.01,285,64.45,66.7, 45 x 45,65.96,-1,0,0,0,0,695,65.8,0.3
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00141,0.00014,0.00088,-0.00465,-0.00024,409,0.01, 0 x 75,0,0.01,287.5,67.05,69.25, 26 x 26,67.45,-1,0,0,0,0,1,68.3,0.312
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00138,0.00014,0.00032,-0.00483,0.00045,24,0.01, 0 x 2098,0,0.01,290,69.5,71.75, 26 x 26,70.07,-1,0,0,0,0,5551,70.8,0.323
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00118,0.00014,0.00028,-0.00543,0.00014,1,0.01, 0 x 106,0,0.01,292.5,72.05,74.25, 1 x 26,64.4,-1,0,0,0,0,0,73.3,0.334
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00103,0.00014,0.00093,-0.00517,0.00028,37,0.01, 0 x 988,0,0.01,295,74.5,76.75, 26 x 26,75.16,-1,0,0,0,0,2551,75.8,0.346
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00095,0.00013,0.00022,-0.00471,-0.00032,0,0.01, 0 x 87,0,0.01,297.5,77.05,79.25, 25 x 26,61.78,-1,0,0,0,0,0,78.3,0.357
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00046,0.00011,0.00047,-0.00523,-0.00041,155,0.01, 0 x 1219,0,0.01,300,79.5,81.75, 26 x 45,79.9,-1,0,0,0,0,103,80.8,0.369
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00036,0.00009,0.0004,-0.00451,0.00049,71,0.01, 0 x 1108,0,0.01,305,84.5,86.75, 26 x 26,83.05,-1,0,0,0,0,3,85.8,0.391
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00065,0.00013,0.00043,-0.00525,-0.00011,3,0.01, 0 x 600,0,0.01,310,89.5,91.75, 26 x 45,89.02,-1,0,0,0,0,1,90.8,0.414
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00111,0.00015,0.00028,-0.00488,-0.00022,8,0.01, 0 x 296,0,0.01,315,94.5,96.7, 45 x 45,54.05,-1,0,0,0,0,0,95.8,0.437
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.0011,0.00009,-0.00006,-0.00462,0.00011,19,0.01, 0 x 162,0,0.01,320,99.5,101.75, 26 x 45,87.07,-1,0,0,0,0,0,100.8,0.46
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00072,0.00013,0.00034,-0.0047,0.00042,5,0.01, 0 x 138,0,0.01,325,104.5,107.5, 26 x 1,87.63,-0.87403,0.00025,0.02577,-0.18994,-0.00481,0,105.8,0.483
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00115,0.00012,0.00052,-0.00488,0.00023,11,0.01, 0 x 137,0,0.01,330,109.55,111.7, 1 x 45,87.7,-1,0,0,0,0,0,110.8,0.506
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00039,0.00009,0.00038,-0.00463,-0.00025,52,0.01, 0 x 127,0,0.01,335,114.5,116.7, 26 x 26,98.6,-1,0,0,0,0,0,115.8,0.528
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00094,0.00012,-0.0001,-0.0047,-0.0004,2,0.01, 0 x 209,0,0.01,340,118.65,122.5, 1 x 1,111.35,-1,0,0,0,0,0,120.8,0.551
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.00067,0.00007,0.0006,-0.00456,-0.00036,0,0.01, 0 x 298,0,0.01,345,124.5,126.7, 45 x 45,85.57,-1,0,0,0,0,0,125.8,0.574
